temp,avg,max
body temp,72.081,83
body temp,72.2431,84
body temp,72.4446,84
body temp,76.4264,84
body temp,70.1426,73
body temp,72.0525,84
body temp,73.2308,85
body temp,73.9301,87
body temp,75.6469,86
body temp,75.5486,89
body temp,74.5553,89
body temp,76.3473,85
body temp,75.3657,88
body temp,73.8255,86
body temp,75.073,86
body temp,74.8979,86
body temp,76.0685,87
body temp,74.0627,88
body temp,75.0763,88
body temp,75.5128,87
body temp,75.9089,87
body temp,77.1625,87
body temp,74.8977,87
body temp,75.9026,88
body temp,75.2672,86
body temp,76.6127,86
body temp,76.4358,88
body temp,76.668,86
body temp,76.2559,86
body temp,74.8462,88
body temp,76.7445,85
body temp,76.2263,86
body temp,76.9428,86
body temp,76.2789,85
body temp,76.6358,86
body temp,76.6254,85
body temp,76.1901,86
body temp,74.6606,82
body temp,74.9174,83
body temp,74.5294,82
body temp,74.7094,81
body temp,64.7868,68
body temp,74.9531,82
body temp,74.6131,83
body temp,76.4395,88
body temp,76.912,90
body temp,77.3748,90
body temp,77.0556,88
body temp,77.8719,89
body temp,68.5852,70
body temp,76.6888,91
body temp,76.1342,90
body temp,75.0693,90
body temp,77.7392,92
body temp,76.1236,91
body temp,77.1874,89
body temp,75.8948,91
body temp,76.1714,90
body temp,76.4545,91
body temp,75.647,92
body temp,77.6425,91
body temp,76.8064,91
body temp,75.1049,90
body temp,75.778,90
body temp,75.6241,91
body temp,74.5902,91
body temp,75.8173,92
body temp,75.5844,90
body temp,76.2779,90
body temp,76.2587,90
body temp,75.7873,92
body temp,74.835,89
body temp,75.9039,90
body temp,75.8094,90
body temp,76.2964,90
body temp,76.0843,90
body temp,76.0003,89
body temp,76.7439,89
body temp,76.2224,89
body temp,74.4903,82
body temp,74.8659,83
body temp,66.3797,71
body temp,74.7095,84
body temp,64.8516,68
body temp,75.2427,84
body temp,66.1246,71
body temp,73.5378,85
body temp,65.1407,70
body temp,73.0875,85
body temp,64.7982,70
body temp,73.6276,86
body temp,65.1984,71
body temp,73.9592,86
body temp,65.0539,70
body temp,65.3109,69
body temp,72.9135,80
body temp,65.9111,70
body temp,72.7216,80
body temp,66.0171,70
body temp,71.1935,78
body temp,65.7851,69
body temp,70.9268,78
body temp,65.7587,70
body temp,71.1604,78
body temp,65.8174,70
body temp,71.0856,79
body temp,65.4904,69
body temp,70.753,78
body temp,66.1756,70
body temp,70.8014,76
body temp,66.0335,71
body temp,71.0593,77
body temp,66.1097,70
body temp,70.7475,77
body temp,66.3494,70
body temp,70.2049,77
body temp,66.2413,70
body temp,71.2687,77
body temp,73.3498,79
body temp,66.3599,70
body temp,73.5741,80
body temp,65.522,70
body temp,72.9023,83
body temp,66.6516,71
body temp,73.367,84
body temp,67.218,71
body temp,72.0042,84
body temp,73.5618,88
body temp,67.8063,71
body temp,73.3624,86
body temp,67.4996,71
body temp,73.5236,87
body temp,67.2889,71
body temp,73.6149,85
body temp,68.4832,71
body temp,73.1125,84
body temp,73.017,83
body temp,67.5735,72
body temp,72.7634,83
body temp,67.8005,72
body temp,72.9697,85
body temp,73.6031,85
body temp,73.2497,85
body temp,74.1186,86
body temp,74.0778,87
body temp,76.4683,86
body temp,70.6614,73
body temp,74.4177,88
body temp,74.2229,87
body temp,73.5187,86
body temp,73.2015,85
body temp,67.1147,72
body temp,73.2454,85
body temp,73.4262,85
body temp,67.8402,71
body temp,73.5077,85
body temp,73.5196,86
body temp,73.5593,85
body temp,73.4503,84
body temp,73.9511,85
body temp,73.8745,86
body temp,71.4083,80
body temp,74.4923,89
body temp,74.7767,89
body temp,74.9811,89
body temp,74.0791,87
body temp,67.8081,71
body temp,73.0234,83
body temp,72.601,84
body temp,72.1806,84
body temp,72.2098,84
body temp,71.8729,85
body temp,72.1756,85
body temp,72.3797,84
body temp,73.2248,84
body temp,72.3863,84
body temp,72.1066,84
body temp,72.5626,84
body temp,72.5042,85
body temp,72.5719,84
body temp,72.1792,83
body temp,74.8736,84
body temp,69.7358,73
body temp,72.4268,84
body temp,72.2906,85
body temp,72.2766,84
body temp,72.6268,82
body temp,73.2827,87
body temp,73.8025,86
body temp,74.1183,90
body temp,74.2701,88
body temp,74.3187,89
body temp,74.6757,90
body temp,73.7419,87
body temp,72.7938,84
body temp,72.4669,83
body temp,74.0738,90
body temp,74.5437,90
body temp,74.5491,88
body temp,73.3934,87
body temp,73.2117,85
body temp,72.9036,84
body temp,73.7469,85
body temp,73.556,86
body temp,73.6605,86
body temp,73.6305,85
body temp,71.784,82
body temp,72.828,81
body temp,72.2226,82
body temp,72.9006,84
body temp,66.7085,71
body temp,72.5866,85
body temp,67.2466,71
body temp,73.006,86
body temp,67.1084,72
body temp,73.0312,84
body temp,67.0759,71
body temp,72.5772,83
body temp,66.1503,71
body temp,72.5013,84
body temp,66.4272,71
body temp,72.6267,83
body temp,66.5135,71
body temp,72.9217,84
body temp,65.9459,71
body temp,73.6098,82
body temp,75.3106,82
body temp,68.129,73
body temp,72.2869,83
body temp,73.1004,87
body temp,73.8158,87
body temp,73.4495,85
body temp,73.3768,85
body temp,73.2204,86
body temp,68.5579,71
body temp,72.6759,83
body temp,68.0998,71
body temp,72.4678,86
body temp,66.0634,70
body temp,72.6158,85
body temp,66.5239,71
body temp,73.2224,86
body temp,66.8321,71
body temp,73.1213,85
body temp,66.2028,70
body temp,73.0386,85
body temp,66.0126,70
body temp,74.0765,81
body temp,72.9243,88
body temp,67.6361,71
body temp,73.2161,87
body temp,73.976,85
body temp,73.3402,87
body temp,72.5218,86
