temp,avg,max
body temp,73.702,84
body temp,75.0936,88
body temp,76.5207,89
body temp,69.3481,75
body temp,76.4244,89
body temp,69.5941,75
body temp,76.612,89
body temp,76.5837,88
body temp,77.1976,90
body temp,76.1446,88
body temp,77.0263,89
body temp,70.6369,75
body temp,77.0946,90
body temp,76.829,89
body temp,77.3379,89
body temp,76.93,89
body temp,77.0269,90
body temp,76.8937,89
body temp,77.4881,90
body temp,77.3547,90
body temp,77.4909,90
body temp,77.1092,89
body temp,77.4836,91
body temp,77.564,91
body temp,77.7015,90
body temp,77.6934,90
body temp,77.2007,90
body temp,77.3285,89
body temp,77.9741,91
body temp,77.5037,93
body temp,77.6555,96
body temp,69.6786,75
body temp,77.5747,97
body temp,68.8237,75
body temp,77.4738,96
body temp,68.3738,74
body temp,78.1397,97
body temp,68.5282,74
body temp,77.2556,95
body temp,69.2323,74
body temp,76.8502,95
body temp,69.0051,74
body temp,76.8223,96
body temp,69.4537,75
body temp,76.6263,95
body temp,69.3015,74
body temp,76.5488,97
body temp,69.3509,74
body temp,76.468,96
body temp,69.5247,74
body temp,76.5504,95
body temp,69.5203,74
body temp,76.1918,95
body temp,68.7562,73
body temp,76.4428,96
body temp,68.8793,73
body temp,76.5556,96
body temp,69.3234,75
body temp,77.2512,97
body temp,69.6712,74
body temp,76.7741,96
body temp,68.2203,73
body temp,77.0014,96
body temp,69.463,74
body temp,76.8157,96
body temp,69.3443,74
body temp,76.9546,96
body temp,69.7629,73
body temp,76.4826,95
body temp,68.243,74
body temp,76.8162,96
body temp,69.2633,73
body temp,77.0154,96
body temp,69.4503,74
body temp,76.7873,97
body temp,69.5609,74
body temp,77.0287,96
body temp,69.371,74
body temp,77.0871,96
body temp,69.6683,74
body temp,76.799,97
body temp,68.8527,73
body temp,77.1179,96
body temp,69.7498,73
body temp,77.2008,97
body temp,69.6699,74
body temp,76.6981,97
body temp,69.4754,74
body temp,76.3781,96
body temp,69.6801,74
body temp,77.1972,92
body temp,70.055,74
body temp,78.2859,92
body temp,78.6401,93
body temp,79.0845,95
body temp,78.6084,94
body temp,79.7329,98
body temp,79.8751,96
body temp,79.9749,98
body temp,79.7792,97
body temp,79.5173,97
body temp,80.3094,96
body temp,80.3482,98
