reading from ../data/room14.txt
409 T 26.9375
410 T 26.875
411 T 26.875
412 T 26.9375
413 T 26.9375
414 T 26.9375
415 T 26.9375
416 T 26.9375
417 T 26.9375
418 T 26.9375
419 T 26.9375
420 T 26.9375
421 T 26.9375
422 T 26.9375
423 T 26.9375
424 T 26.9375
425 T 26.9375
426 T 26.875
427 T 26.9375
428 T 26.9375
429 T 26.9375
430 T 26.875
431 T 26.875
432 T 26.9375
433 T 26.875
434 T 26.875
435 T 26.9375
436 T 26.875
437 T 26.9375
438 T 26.875
439 T 26.9375
440 T 26.9375
441 T 26.875
442 T 26.875
443 T 26.9375
444 T 26.875
445 T 26.875
446 T 26.9375
447 T 26.875
448 T 26.9375
449 T 26.9375
450 T 26.9375
451 T 26.875
452 T 26.875
453 T 26.875
454 T 26.875
455 T 26.875
456 T 26.875
457 T 26.875
458 T 26.875
459 T 26.875
460 T 26.875
461 T 26.875
462 T 26.8125
463 T 26.875
464 T 26.875
465 T 26.8125
466 T 26.875
467 T 26.8125
468 T 26.8125
469 T 26.8125
470 T 26.8125
471 T 26.875
472 T 26.875
473 T 26.8125
474 T 26.8125
475 T 26.875
476 T 26.8125
477 T 26.875
478 T 26.875
479 T 26.875
480 T 26.875
481 T 26.875
482 T 26.875
483 T 26.8125
484 T 26.8125
485 T 26.8125
486 T 26.8125
487 T 26.8125
488 T 26.8125
489 T 26.8125
490 T 26.8125
491 T 26.8125
492 T 26.8125
493 T 26.8125
494 T 26.8125
495 T 26.8125
496 T 26.8125
497 T 26.8125
498 T 26.8125
499 T 26.8125
500 T 26.8125
501 T 26.875
502 T 26.8125
503 T 26.8125
504 T 26.8125
505 T 26.875
506 T 26.8125
507 T 26.8125
508 T 26.8125
509 T 26.8125
510 T 26.8125
511 T 26.75
512 T 26.8125
513 T 26.8125
514 T 26.8125
515 T 26.8125
516 T 26.75
517 T 26.8125
518 T 26.8125
519 T 26.8125
520 T 26.8125
521 T 26.75
522 T 26.75
523 T 26.75
524 T 26.75
525 T 26.8125
526 T 26.8125
527 T 26.75
528 T 26.8125
529 T 26.8125
530 T 26.75
531 T 26.75
532 T 26.8125
533 T 26.8125
534 T 26.8125
535 T 26.75
536 T 26.75
537 T 26.75
