temp,avg,max
body temp,65.4117,70
body temp,72.4961,80
body temp,65.3669,70
body temp,73.3228,78
body temp,63.5991,69
body temp,64.3898,69
body temp,74.5886,81
body temp,64.0562,69
body temp,75.1916,82
body temp,64.9611,69
body temp,75.4578,82
body temp,65.242,70
body temp,64.9231,70
body temp,75.3824,82
body temp,65.0843,69
body temp,75.4916,81
body temp,63.4349,69
body temp,64.4056,69
body temp,63.7581,69
body temp,64.8672,70
body temp,64.6633,69
body temp,74.8437,80
body temp,64.0086,69
body temp,74.9033,80
body temp,62.8099,69
body temp,74.5594,82
body temp,64.0653,69
body temp,74.3606,81
body temp,64.3351,69
body temp,74.2909,84
body temp,64.3099,70
body temp,73.9481,82
body temp,64.0115,70
body temp,73.2606,81
body temp,64.114,69
body temp,73.6189,81
body temp,64.0168,69
body temp,73.6487,81
body temp,63.957,70
body temp,73.8813,83
body temp,63.8984,70
body temp,74.3285,83
body temp,64.0169,69
body temp,74.0856,82
body temp,63.8574,70
body temp,73.7554,82
body temp,63.7638,70
body temp,74.0665,82
body temp,64.1107,70
body temp,73.8932,80
body temp,63.9635,70
body temp,73.9541,81
body temp,63.4042,70
body temp,73.4746,81
body temp,63.5631,70
body temp,73.9054,79
body temp,63.7197,70
body temp,74.1804,81
body temp,63.6335,70
body temp,73.8824,82
body temp,63.8388,70
body temp,73.6625,82
body temp,63.7856,69
body temp,73.7653,83
body temp,63.7795,70
body temp,73.604,80
body temp,63.6041,70
body temp,73.7355,80
body temp,63.4473,70
body temp,73.8177,82
body temp,63.7166,70
body temp,73.7392,82
body temp,63.2053,69
body temp,73.6741,81
body temp,63.2968,70
body temp,73.7972,79
body temp,62.8183,70
body temp,73.3062,79
body temp,62.7429,70
body temp,64.2149,69
body temp,63.1846,70
body temp,73.4055,79
body temp,62.5148,70
body temp,72.6686,79
body temp,62.6041,70
body temp,72.5114,78
body temp,62.7241,70
body temp,72.4965,78
body temp,63.2552,70
body temp,72.642,80
body temp,62.8631,70
body temp,72.0971,79
body temp,62.7264,70
body temp,71.9604,78
body temp,62.7904,70
body temp,71.8018,79
body temp,62.243,70
body temp,71.9146,78
body temp,62.5682,70
body temp,72.6247,79
body temp,62.8267,70
body temp,72.2449,79
body temp,62.4717,69
body temp,62.5,70
body temp,63.9897,70
body temp,63.358,69
body temp,65.1337,69
body temp,63.0138,69
body temp,64.48,69
body temp,63.5448,69
body temp,72.009,76
body temp,63.9288,70
body temp,72.375,76
body temp,63.9954,70
body temp,73.389,78
body temp,64.1834,70
body temp,73.3173,79
body temp,64.1078,70
body temp,73.2163,79
body temp,64.8283,70
body temp,74.187,83
body temp,65.128,70
body temp,74.3968,83
body temp,64.3216,70
body temp,74.2034,83
body temp,64.7428,70
body temp,74.3457,83
body temp,65.022,70
body temp,74.4861,86
body temp,74.5063,86
body temp,65.1843,69
body temp,74.2643,86
body temp,74.6712,86
body temp,63.5769,69
body temp,74.6144,86
body temp,65.0499,69
body temp,74.4576,87
body temp,62.7015,69
body temp,74.5637,86
body temp,62.6815,68
body temp,75.1447,87
body temp,74.9384,87
body temp,63.6822,69
body temp,74.8977,85
body temp,64.5264,69
body temp,75.2586,86
body temp,75.0083,84
body temp,75.1447,85
body temp,64.4709,69
body temp,75.4574,85
body temp,64.4156,69
body temp,75.4692,87
body temp,75.4927,85
body temp,64.1148,69
body temp,75.5174,84
body temp,64.8971,69
body temp,75.1505,84
body temp,63.9673,69
body temp,75.2476,85
body temp,64.1527,69
body temp,73.2035,82
body temp,64.2178,69
body temp,73.2892,81
body temp,73.9808,80
body temp,63.6906,69
body temp,74.2638,82
body temp,75.2451,86
body temp,75.1687,84
body temp,65.2063,70
body temp,74.4518,86
body temp,64.0303,68
body temp,74.7371,84
body temp,65.2809,69
body temp,74.7487,83
body temp,74.2618,80
body temp,64.4199,69
body temp,74.8422,82
body temp,74.7427,84
body temp,74.1203,81
body temp,64.5186,69
body temp,74.03,82
body temp,73.8006,81
body temp,63.8057,69
body temp,74.9668,80
body temp,64.9672,70
body temp,75.0704,82
body temp,65.6078,69
body temp,74.9312,81
body temp,65.2069,69
body temp,74.843,80
body temp,65.1193,70
body temp,74.7219,80
body temp,65.0553,69
body temp,74.6522,81
body temp,65.4756,69
body temp,74.8078,84
body temp,64.1217,68
body temp,65.0909,70
body temp,74.2251,82
body temp,65.4822,70
body temp,74.4893,81
body temp,64.706,70
body temp,73.3518,80
body temp,65.212,70
body temp,73.3397,80
body temp,64.9375,71
body temp,73.2103,78
body temp,65.6042,69
body temp,71.8371,79
body temp,74.5388,80
body temp,65.3396,69
body temp,63.6995,69
body temp,73.3534,80
body temp,64.6085,70
body temp,73.1605,80
body temp,65.1029,70
body temp,73.149,81
body temp,65.6197,70
body temp,72.8389,77
body temp,65.3059,70
body temp,72.8073,81
body temp,65.4803,70
body temp,72.242,81
body temp,65.425,70
body temp,65.4927,70
body temp,65.128,70
body temp,73.0416,80
body temp,64.605,70
body temp,72.7066,80
body temp,63.4866,69
body temp,64.4076,69
body temp,63.6389,69
body temp,65.1617,70
body temp,64.0538,69
body temp,64.9849,69
body temp,64.5832,70
body temp,65.0626,70
body temp,65.0317,70
body temp,72.4809,76
body temp,64.6801,70
body temp,72.6511,77
body temp,66.8921,70
body temp,73.757,80
body temp,73.9075,80
body temp,73.8924,82
body temp,73.6068,80
body temp,73.289,82
body temp,73.4804,83
body temp,72.7954,80
body temp,72.5696,82
